title,Hierarchy,Occupation.type,Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,Percent.self.employed..2016,Occupational.openings..2016.26.annual.average,Median.annual.wage..2017.1.,Typical.education.needed.for.entry,Work.experience.in.a.related.occupation,Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation,Level0,Level1,Level2,Level3,Level4,pathString,jobcol,percentchg.indx,percentchg.col
"Total, all",0,Summary,"156,063.80","167,582.30","11,518.60",7.4,6.1,"18,742.00","$37,690 ",NA,NA,NA,Jobs,NA,NA,NA,NA,Jobs,white,11,#FF9200
Architecture & engineering,1,Summary,"2,601.00","2,795.40",194.3,7.5,2.7,210.1,"$79,180 ",NA,NA,NA,Jobs,Architecture & engineering,NA,NA,NA,Jobs/Architecture & engineering,#984EA3,11,#FF9200
"Architects, surveyors, etc",2,Summary,210.9,225.3,14.5,6.9,15.3,16.7,"$72,020 ",NA,NA,NA,Jobs,Architecture & engineering,"Architects, surveyors, etc",NA,NA,"Jobs/Architecture & engineering/Architects, surveyors, etc",#984EA3,11,#FF9200
"Architects, except naval",3,Summary,153.5,160.5,7,4.6,20.1,11.7,"$76,590 ",NA,NA,NA,Jobs,Architecture & engineering,"Architects, surveyors, etc","Architects, except naval",NA,"Jobs/Architecture & engineering/Architects, surveyors, etc/Architects, except naval",#984EA3,10,#FFB600
"Architects, except landscape & naval",4,Line item,128.8,134.2,5.5,4.2,20.2,9.7,"$78,470 ",Bachelor's degree,None,Internship/residency,Jobs,Architecture & engineering,"Architects, surveyors, etc","Architects, except naval","Architects, except landscape & naval","Jobs/Architecture & engineering/Architects, surveyors, etc/Architects, except naval/Architects, except landscape & naval",#984EA3,10,#FFB600
Landscape architects,4,Line item,24.7,26.3,1.6,6.4,19.6,1.9,"$65,760 ",Bachelor's degree,None,Internship/residency,Jobs,Architecture & engineering,"Architects, surveyors, etc","Architects, except naval",Landscape architects,"Jobs/Architecture & engineering/Architects, surveyors, etc/Architects, except naval/Landscape architects",#984EA3,11,#FF9200
"Surveyors, cartographers, etc",3,Summary,57.4,64.8,7.5,13,2.2,5,"$61,770 ",NA,NA,NA,Jobs,Architecture & engineering,"Architects, surveyors, etc","Surveyors, cartographers, etc",NA,"Jobs/Architecture & engineering/Architects, surveyors, etc/Surveyors, cartographers, etc",#984EA3,12,#FF6D00
Cartographers & photogrammetrists,4,Line item,12.6,15,2.4,19.4,1.5,1.2,"$63,990 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,"Architects, surveyors, etc","Surveyors, cartographers, etc",Cartographers & photogrammetrists,"Jobs/Architecture & engineering/Architects, surveyors, etc/Surveyors, cartographers, etc/Cartographers & photogrammetrists",#984EA3,12,#FF6D00
Surveyors,4,Line item,44.8,49.8,5,11.2,2.4,3.8,"$61,140 ",Bachelor's degree,None,Internship/residency,Jobs,Architecture & engineering,"Architects, surveyors, etc","Surveyors, cartographers, etc",Surveyors,"Jobs/Architecture & engineering/Architects, surveyors, etc/Surveyors, cartographers, etc/Surveyors",#984EA3,11,#FF9200
"Drafters, engineering technicians, etc",2,Summary,709.2,749.7,40.5,5.7,1.7,66.8,"$55,810 ",NA,NA,NA,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc",NA,NA,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc",#984EA3,10,#FFB600
Drafters,3,Summary,207.7,222.3,14.6,7,1.7,19.4,"$54,170 ",NA,NA,NA,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc",Drafters,NA,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Drafters",#984EA3,11,#FF9200
Architectural & civil drafters,4,Line item,99.6,107.7,8.1,8.1,1.7,9.5,"$52,870 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc",Drafters,Architectural & civil drafters,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Drafters/Architectural & civil drafters",#984EA3,11,#FF9200
"Drafters, all other",4,Line item,15.9,17.2,1.3,8,1.7,1.5,"$50,290 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc",Drafters,"Drafters, all other","Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Drafters/Drafters, all other",#984EA3,11,#FF9200
Electrical & electronics drafters,4,Line item,27.4,29.3,1.9,6.8,1.7,2.6,"$59,690 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc",Drafters,Electrical & electronics drafters,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Drafters/Electrical & electronics drafters",#984EA3,11,#FF9200
Mechanical drafters,4,Line item,64.8,68.2,3.4,5.2,1.8,5.9,"$55,130 ",Associate's degree,None,None,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc",Drafters,Mechanical drafters,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Drafters/Mechanical drafters",#984EA3,10,#FFB600
"Engineering technicians, except drafters",3,Summary,441.3,460.8,19.5,4.4,0.7,40.1,"$58,170 ",NA,NA,NA,Jobs,Architecture & engineering,"Drafters, engineering technicians, etc","Engineering technicians, except drafters",NA,"Jobs/Architecture & engineering/Drafters, engineering technicians, etc/Engineering technicians, except drafters",#984EA3,10,#FFB600
