title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Total, all",0,Summary,"156,063.80","167,582.30","11,518.60",7.4,6.1,"18,742.00","$37,690 ",NA,NA,NA
Management occupations,1,Summary,"9,533.10","10,340.40",807.3,8.5,19.8,841.5,"$102,590 ",NA,NA,NA
Top executives,2,Summary,"2,627.50","2,824.50",197,7.5,3.2,235,"$103,120 ",NA,NA,NA
Chief executives,3,Line item,308.9,296.8,-12.1,-3.9,22.8,20,"$183,270 ",Bachelor's degree,5 years or more,None
General & operations managers,3,Line item,"2,263.10","2,468.30",205.2,9.1,0.6,210.7,"$100,410 ",Bachelor's degree,5 years or more,None
Legislators,3,Line item,55.5,59.4,3.9,7.1,NA,4.4,"$25,630 ",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, & sales managers",2,Summary,708.6,768.9,60.3,8.5,3.3,67.9,"$123,100 ",NA,NA,NA
Advertising & promotions managers,3,Line item,31.3,33,1.7,5.5,5.2,3.4,"$106,130 ",Bachelor's degree,Less than 5 years,None
Marketing & sales managers,3,Summary,603.8,654.8,51,8.4,3.6,57.6,"$125,290 ",NA,NA,NA
Marketing managers,4,Line item,218.3,240.4,22.1,10.1,3.5,21.3,"$132,230 ",Bachelor's degree,5 years or more,None
Sales managers,4,Line item,385.5,414.4,28.9,7.5,3.6,36.3,"$121,060 ",Bachelor's degree,Less than 5 years,None
Public relations & fundraising managers,3,Line item,73.5,81.1,7.7,10.4,NA,6.9,"$111,280 ",Bachelor's degree,5 years or more,None
Operations specialties managers,2,Summary,"1,776.10","1,985.00",208.9,11.8,1.4,160.4,"$115,700 ",NA,NA,NA
Administrative services managers,3,Line item,281.7,310.2,28.5,10.1,0.2,26.2,"$94,020 ",Bachelor's degree,Less than 5 years,None
Computer & information systems managers,3,Line item,367.6,411.8,44.2,12,0.8,32.5,"$139,220 ",Bachelor's degree,5 years or more,None
Financial managers,3,Line item,580.4,689,108.6,18.7,2.6,56.9,"$125,080 ",Bachelor's degree,5 years or more,None
